id_Siniestro;Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
1345;1111000;CERRADO;8/12/2022;Diciembre;2022;Buenos Aires;26;GONZALEZ CATAN;1759;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;1111000
4713;2758000;CERRADO;14/9/2023;Septiembre;2023;Buenos Aires;1439;ISIDRO CASANOVA;1765;Buenos Aires;HONDA;ON OFF;NX  400 FALCON;2013;2758000
2742;575000;CERRADO;11/4/2023;Abril;2023;Buenos Aires;845;INGENIERO BUDGE;1773;Buenos Aires;BAJAJ;STREET;V 15    150 VIKRANT;2021;575000
4751;599000;CERRADO;16/9/2023;Septiembre;2023;Buenos Aires;201;MONTE GRANDE;1842;Buenos Aires;HONDA;BUSINESS;CB1   125;2015;599000
1490;179500;CERRADO;21/12/2022;Diciembre;2022;La Plata;346;MELCHOR ROMERO;1903;Buenos Aires;GILERA;BUSINESS;110 SMASH FULL UNDERBONE;2018;179500
4752;375000;CERRADO;16/9/2023;Septiembre;2023;La Plata;346;MELCHOR ROMERO;1903;Buenos Aires;ZANELLA;CUB;ZB 110 AT NEW;2023;375000
3778;2555000;CERRADO;11/7/2023;Julio;2023;Rosario;1174;ROSARIO;2000;Santa Fe;KTM;TOURING;DUKE 390 NAKED;2018;2555000
4459;320000;CERRADO;28/8/2023;Agosto;2023;Parana;1456;SANTA FE;3000;Santa Fe;GILERA;CUB;110 SMASH AUTOMATICA;2021;320000
3989;616000;CERRADO;27/7/2023;Julio;2023;USE;11;CONCEPCION DEL URUGUAY;3260;Entre Rios;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;616000
2779;861000;CERRADO;14/4/2023;Abril;2023;Mar del Plata;1099;MAR DEL PLATA;7600;Buenos Aires;YAMAHA;ENDURO;125 XTZ;2019;861000
1226;533500;CERRADO;25/11/2022;Noviembre;2022;USE;11;BAHIA BLANCA;8000;Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2018;533500
7614;2625000;CERRADO;9/2/2024;Febrero;2024;Buenos Aires;199;CABALLITO 1401-1500;1406;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2019;2625000
7381;491000;CERRADO;30/1/2024;Enero;2024;USE;11;SANTOS LUGARES;1696;Buenos Aires;KELLER;BUSINESS;110 CRONO CLASIC ECO;2022;491000
91;201000;CERRADO;18/6/2022;Junio;2022;Buenos Aires;2;GARCIA DE COSSIO 5501-7700;1764;C.A. de Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2011;201000
750;235500;CERRADO;25/9/2022;Septiembre;2022;Buenos Aires;448;TIGRE;1648;Buenos Aires;JIANSHE;-;JS 125 6B;2017;235500
932;361142;CERRADO;20/10/2022;Octubre;2022;Cordoba;521;CORDOBA;5000;Cordoba;HONDA;ON OFF;XR  125 L;2013;361142
3484;379500;CERRADO;17/6/2023;Junio;2023;Neuquen;292;NEUQUEN;8300;Neuquen;KELLER;-;200 MIRACLE (KN GY);2017;379500
877;803500;CERRADO;12/10/2022;Octubre;2022;9 de julio (provincia de Bs.As);496;ALMAGRO 1601-1700;1416;C.A. de Buenos Aires;HONDA;SPORT;CB 250 TWISTER (CBX);2018;803500
1305;293000;CERRADO;3/12/2022;Diciembre;2022;Buenos Aires;323;EZPELETA;1882;Buenos Aires;ZANELLA;STREET;RX1 150;2018;293000
1655;208000;CERRADO;5/1/2023;Enero;2023;Buenos Aires;770;C.A.B.A.;1000;C.A. de Buenos Aires;CORVEN;CUB;MIRAGE  110 AD;2018;208000
1607;503000;CERRADO;31/12/2022;Diciembre;2022;La Plata;424;BROWN ALTE. AVDA. 801-1500;1159;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  160 NS;2020;503000
2767;365500;CERRADO;13/4/2023;Abril;2023;Buenos Aires;18;VILLA DE MAYO;1614;Buenos Aires;CORVEN;CUB;MIRAGE  110 AD;2023;365500
3945;1444500;CERRADO;24/7/2023;Julio;2023;USE;8;MERLO;1722;Buenos Aires;HONDA;ON OFF;XR 190 L (ARG);2023;1444500
1852;1417500;CERRADO;25/1/2023;Enero;2023;Buenos Aires;156;TABLADA ESTAFETA N§2;1766;Buenos Aires;KTM;STREET;DUKE 250 NAKED;2020;1417500
1633;602500;CERRADO;3/1/2023;Enero;2023;Buenos Aires;762;MONTE GRANDE;1842;Buenos Aires;HONDA;ON OFF;XR  150 L;2018;602500
3136;255500;CERRADO;15/5/2023;Mayo;2023;Buenos Aires;1181;MONTE GRANDE;1842;Buenos Aires;ZANELLA;STREET;SAPUCAI 150 Z3;2014;255500
1273;1333500;CERRADO;30/11/2022;Noviembre;2022;La Plata;209;LA PLATA;1900;Buenos Aires;BAJAJ;STREET;DOMINAR 400 NEW 2019;2020;1333500
1405;1002500;CERRADO;15/12/2022;Diciembre;2022;La Plata;204;LA PLATA;1900;Buenos Aires;HONDA;SPORT;CB 250 TWISTER (CBX);2021;1002500
2089;397000;CERRADO;15/2/2023;Febrero;2023;Rosario;412;ROSARIO;2000;Santa Fe;HONDA;BUSINESS;WAVE  110S NEW BASE;2021;397000
3263;4214000;CERRADO;28/5/2023;Mayo;2023;Buenos Aires;26;CAMPANA;2804;Buenos Aires;CF MOTO;TOURING;MT 650;2022;4214000
2175;289000;CERRADO;22/2/2023;Febrero;2023;Cordoba;931;CORDOBA;5000;Cordoba;HONDA;BUSINESS;C BIZ 125 KS;2014;289000
